Geo Point;Geo Shape;codeunique;nom_long;label;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;idrefliga;idrefligc;res_com;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.86698310852867, 2.2900588335804875;"{""coordinates"": [2.290058833580487, 48.86698310852867], ""type"": ""Point""}";106081.0;Boissière;Boissière;71301.0;Boissière;42359.0;Boissière;A01539;C01376;METRO 6;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;647920.0416999981;6863228.967700001
48.835930301957994, 2.352542266262702;"{""coordinates"": [2.352542266262702, 48.835930301957994], ""type"": ""Point""}";107075.0;Les Gobelins;Les Gobelins;71076.0;Les Gobelins;43737.0;Les Gobelins;A01540;C01377;METRO 7;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;652475.2899999991;6859736.7848000005
48.85772541197265, 2.310565960946845;"{""coordinates"": [2.310565960946845, 48.85772541197265], ""type"": ""Point""}";108033.0;La Tour Maubourg;La Tour Maubourg;71242.0;La Tour Maubourg;43409.0;La Tour Maubourg;A01541;C01378;METRO 8;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;649415.3796000034;6862186.261700001
48.780002827987595, 2.4593631290764044;"{""coordinates"": [2.459363129076404, 48.780002827987595], ""type"": ""Point""}";108091.0;Créteil–Préfecture;Créteil–Préfecture;70021.0;Créteil Préfecture;42778.0;Créteil Préfecture;A01541;C01378;METRO 8;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;660273.4464000016;6853459.355900001
48.81074648676729, 2.3016785568320426;"{""coordinates"": [2.301678556832043, 48.81074648676729], ""type"": ""Point""}";114033.0;Châtillon-Montrouge;Châtillon-Montrouge;461505.0;Châtillon Montrouge;42588.0;Châtillon-Montrouge;A01546 / A02149;C01383 / C01794;METRO 13 / TRAM 6;METRO / TRAMWAY;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0;0;0;1;1;0;0;RATP;1.0;1.0;648717.1203000024;6856968.478500001
48.861168864566984, 2.367210866411708;"{""coordinates"": [2.367210866411708, 48.861168864566984], ""type"": ""Point""}";108055.0;Saint-Sébastien-Froissart;Saint-Sébastien-Froissart;71777.0;Saint-Sébastien Froissart;45208.0;Saint-Sébastien Froissart;A01541;C01378;METRO 8;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;653574.4611999989;6862534.348200001
48.88566111178074, 2.342549653258488;"{""coordinates"": [2.342549653258488, 48.88566111178074], ""type"": ""Point""}";467.0;Funiculaire Montmartre Station Haute;Funiculaire Montmartre Station Haute;73848.0;Funiculaire de Montmartre - Gare haute;45558.0;Funiculaire de Montmartre - Gare haute;A01548;C01385;FUNICULAIRE MONTMARTRE;VAL;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0;0;0;0;0;1;1;RATP;0.0;1.0;651787.8703000024;6865272.492899999
48.86229941189889, 2.4415218094110314;"{""coordinates"": [2.441521809411031, 48.86229941189889], ""type"": ""Point""}";109093.0;Mairie de Montreuil;Mairie de Montreuil;71785.0;Mairie de Montreuil;44052.0;Mairie de Montreuil;A01542;C01379;METRO 9;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;1;0;0;0;RATP;0.0;1.0;659027.1889000013;6862618.931499999
48.832601191514726, 2.288252677414912;"{""coordinates"": [2.288252677414912, 48.832601191514726], ""type"": ""Point""}";112035.0;Porte de Versailles;Porte de Versailles;71045.0;Porte de Versailles;49515.0;Porte de Versailles;A01545 / A01193;C01382 / C01391;METRO 12 / TRAM 3a;METRO / TRAMWAY;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0;0;0;0;1;0;0;RATP;0.0;1.0;647753.0892999992;6859407.2414
48.853016766089475, 2.3355020503762605;"{""coordinates"": [2.33550205037626, 48.853016766089475], ""type"": ""Point""}";110057.0;Mabillon;Mabillon;73639.0;Mabillon;59379.0;Mabillon;A01543;C01380;METRO 10;METRO;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0;0;0;0;0;0;0;RATP;0.0;1.0;651240.5209999979;6861647.017299999
